;DENV46/1;DENV46/182;DENV73/1;DENV73/182
1;0.27667;0.34375;0.30361;0.34375
1;0.21370;0.25614;0.33619;0.25614
1;0.25340;0.30095;0.22928;0.30095
1;0.30591;0.34936;0.24639;0.34936
1;0.22571;0.48292;0.22960;0.48292
1;0.21965;0.35085;0.31117;0.35085
1;0.27289;0.23522;0.24293;0.23522
1;0.20036;0.31963;0.22474;0.31963
1;0.26109;0.43503;0.22702;0.43503
1;0.22318;0.27516;0.20478;0.27516
1;0.22729;0.38599;0.24357;0.38599
1;0.35383;0.56596;0.23006;0.56596
1;0.21999;0.30614;0.27875;0.30614
1;0.34847;0.37300;0.31967;0.37300
1;0.27927;0.33350;0.22831;0.33350
1;0.27913;0.45994;0.34933;0.45994
1;0.25094;0.26167;0.19805;0.26167
1;0.29235;0.24560;0.34119;0.24560
1;0.25401;0.26542;0.21108;0.26542
1;0.21590;0.54251;0.22189;0.54251
1;0.26176;0.43319;0.30282;0.43319
1;0.21012;0.46526;0.21869;0.46526
1;0.24508;0.23860;0.22039;0.23860
1;0.37402;0.47474;0.39314;0.47474
1;0.31645;0.29039;0.31443;0.29039
1;0.28615;0.43146;0.28693;0.43146
1;0.22404;0.45896;0.23159;0.45896
1;0.32625;0.41495;0.26239;0.41495
1;0.20105;0.36327;0.29396;0.36327
1;0.26730;0.34587;0.21775;0.34587
1;0.19613;0.24935;0.25961;0.24935
1;0.22845;0.39033;0.21989;0.39033
1;0.35031;0.40477;0.37394;0.40477
1;0.26634;0.34988;0.26327;0.34988
1;0.19897;0.25414;0.25181;0.25414
1;0.23345;0.52758;0.20011;0.52758
1;0.30147;0.40878;0.20732;0.40878
1;0.30728;0.32436;0.22580;0.32436
1;0.24213;0.42724;0.24622;0.42724
1;0.25528;0.32823;0.21334;0.32823
1;0.25429;0.33656;0.26496;0.33656
1;0.22023;0.29314;0.20169;0.29314
1;0.19559;0.34750;0.21736;0.34750
1;0.22138;0.49023;0.30732;0.49023
1;0.19972;0.25554;0.24474;0.25554
1;0.21927;0.32517;0.33732;0.32517
1;0.25613;0.47955;0.23925;0.47955
1;0.20077;0.11450;0.18771;0.11450
1;0.29306;0.41178;0.37643;0.41178
1;0.27937;0.28876;0.28883;0.28876
1;0.28858;0.44400;0.39795;0.44400
1;0.23807;0.42767;0.25145;0.42767
1;0.28809;0.33225;0.26819;0.33225
1;0.26310;0.35493;0.36596;0.35493
1;0.20867;0.22155;0.21939;0.22155
1;0.23812;0.50743;0.25296;0.50743
1;0.30292;0.43564;0.24758;0.43564
1;0.30683;0.28879;0.30455;0.28879
1;0.33826;0.27699;0.23405;0.27699
1;0.35833;0.49221;0.39131;0.49221
1;0.22456;0.26394;0.19517;0.26394
1;0.21332;0.36408;0.23090;0.36408
1;0.22903;0.35809;0.26096;0.35809
1;0.20214;0.25363;0.21215;0.25363
1;0.21490;0.31903;0.24041;0.31903
1;0.19357;0.30882;0.17602;0.30882
1;0.23990;0.27703;0.28372;0.27703
1;0.20561;0.40127;0.27977;0.40127
1;0.22511;0.26240;0.28204;0.26240
1;0.23159;0.25424;0.21453;0.25424
1;0.28903;0.46591;0.30545;0.46591
1;0.25420;0.49649;0.23097;0.49649
1;0.24739;0.48897;0.31040;0.48897
1;0.22122;0.23530;0.21250;0.23530
1;0.25127;0.18298;0.23708;0.18298
1;0.32836;0.29816;0.26370;0.29816
1;0.23615;0.23026;0.27784;0.23026
1;0.20771;0.22860;0.14034;0.22860
1;0.25490;0.23369;0.24351;0.23369
1;0.22986;0.56143;0.22875;0.56143
1;0.17928;0.19934;0.18100;0.19934
1;0.23493;0.46427;0.23682;0.46427
1;0.30605;0.34144;0.24967;0.34144
1;0.26404;0.22698;0.23500;0.22698
1;0.21432;0.54409;0.23213;0.54409
1;0.24320;0.34726;0.24145;0.34726
1;0.23424;0.23276;0.20555;0.23276
1;0.24992;0.52345;0.24294;0.52345
1;0.29440;0.53825;0.24236;0.53825
1;0.25909;0.29245;0.27516;0.29245
1;0.20893;0.29785;0.31068;0.29785
1;0.23795;0.27377;0.23547;0.27377
1;0.24780;0.47817;0.23564;0.47817
1;0.23179;0.25208;0.24798;0.25208
1;0.23877;0.45268;0.21043;0.45268
1;0.28176;0.29971;0.20001;0.29971
1;0.28310;0.29699;0.29692;0.29699
1;0.22944;0.37479;0.23263;0.37479
1;0.22159;0.33449;0.22809;0.33449
1;0.28868;0.49758;0.18914;0.49758
1;0.31051;0.37359;0.30649;0.37359
1;0.27212;0.32338;0.27110;0.32338
1;0.24794;0.57844;0.24227;0.57844
