;DENV46/1;DENV46/182;DENV73/1;DENV73/182
y1;0.27667;0.34375;0.30361;0.34375
y2;0.21370;0.25614;0.33619;0.25614
y3;0.25340;0.30095;0.22928;0.30095
y4;0.30591;0.34936;0.24639;0.34936
y5;0.22571;0.48292;0.22960;0.48292
y6;0.21965;0.35085;0.31117;0.35085
y7;0.27289;0.23522;0.24293;0.23522
y8;0.20036;0.31963;0.22474;0.31963
y9;0.26109;0.43503;0.22702;0.43503
y10;0.22318;0.27516;0.20478;0.27516
y11;0.22729;0.38599;0.24357;0.38599
y12;0.35383;0.56596;0.23006;0.56596
y13;0.21999;0.30614;0.27875;0.30614
y14;0.34847;0.37300;0.31967;0.37300
y15;0.27927;0.33350;0.22831;0.33350
y16;0.27913;0.45994;0.34933;0.45994
y17;0.25094;0.26167;0.19805;0.26167
y18;0.29235;0.24560;0.34119;0.24560
y19;0.25401;0.26542;0.21108;0.26542
y20;0.21590;0.54251;0.22189;0.54251
y21;0.26176;0.43319;0.30282;0.43319
y22;0.21012;0.46526;0.21869;0.46526
y23;0.24508;0.23860;0.22039;0.23860
y24;0.37402;0.47474;0.39314;0.47474
y25;0.31645;0.29039;0.31443;0.29039
y26;0.28615;0.43146;0.28693;0.43146
y27;0.22404;0.45896;0.23159;0.45896
y28;0.32625;0.41495;0.26239;0.41495
y29;0.20105;0.36327;0.29396;0.36327
y30;0.26730;0.34587;0.21775;0.34587
y31;0.19613;0.24935;0.25961;0.24935
y32;0.22845;0.39033;0.21989;0.39033
y33;0.35031;0.40477;0.37394;0.40477
y34;0.26634;0.34988;0.26327;0.34988
y35;0.19897;0.25414;0.25181;0.25414
y36;0.23345;0.52758;0.20011;0.52758
y37;0.30147;0.40878;0.20732;0.40878
y38;0.30728;0.32436;0.22580;0.32436
y39;0.24213;0.42724;0.24622;0.42724
y40;0.25528;0.32823;0.21334;0.32823
y41;0.25429;0.33656;0.26496;0.33656
y42;0.22023;0.29314;0.20169;0.29314
y43;0.19559;0.34750;0.21736;0.34750
y44;0.22138;0.49023;0.30732;0.49023
y45;0.19972;0.25554;0.24474;0.25554
y46;0.21927;0.32517;0.33732;0.32517
y47;0.25613;0.47955;0.23925;0.47955
y48;0.20077;0.11450;0.18771;0.11450
