	Valor1	Valor2
1	0.27667	0.34375
2	0.21370	0.25614
3	0.25340	0.30095
4	0.30591	0.34936
5	0.22571	0.48292
6	0.21965	0.35085
7	0.27289	0.23522
8	0.20036	0.31963
9	0.26109	0.43503
10	0.22318	0.27516
11	0.22729	0.38599
12	0.35383	0.56596
13	0.21999	0.30614
14	0.34847	0.37300
15	0.27927	0.33350
16	0.27913	0.45994
17	0.25094	0.26167
18	0.29235	0.24560
19	0.25401	0.26542
20	0.21590	0.54251
21	0.26176	0.43319
22	0.21012	0.46526
23	0.24508	0.23860
24	0.37402	0.47474
25	0.31645	0.29039
26	0.28615	0.43146
27	0.22404	0.45896
28	0.32625	0.41495
29	0.20105	0.36327
30	0.26730	0.34587
31	0.19613	0.24935
32	0.22845	0.39033
33	0.35031	0.40477
34	0.26634	0.34988
35	0.19897	0.25414
36	0.23345	0.52758
37	0.30147	0.40878
38	0.30728	0.32436
39	0.24213	0.42724
40	0.25528	0.32823
41	0.25429	0.33656
42	0.22023	0.29314
43	0.19559	0.34750
44	0.22138	0.49023
45	0.19972	0.25554
46	0.21927	0.32517
47	0.25613	0.47955
48	0.20077	0.11450
49	0.29306	0.41178
50	0.27937	0.28876
51	0.28858	0.44400
52	0.23807	0.42767
53	0.28809	0.33225
54	0.26310	0.35493
55	0.20867	0.22155
56	0.23812	0.50743
57	0.30292	0.43564
58	0.30683	0.28879
59	0.33826	0.27699
60	0.35833	0.49221
61	0.22456	0.26394
62	0.21332	0.36408
63	0.22903	0.35809
64	0.20214	0.25363
65	0.21490	0.31903
66	0.19357	0.30882
67	0.23990	0.27703
68	0.20561	0.40127
69	0.22511	0.26240
70	0.23159	0.25424
71	0.28903	0.46591
72	0.25420	0.49649
73	0.24739	0.48897
74	0.22122	0.23530
75	0.25127	0.18298
76	0.32836	0.29816
77	0.23615	0.23026
78	0.20771	0.22860
79	0.25490	0.23369
80	0.22986	0.56143
81	0.17928	0.19934
82	0.23493	0.46427
83	0.30605	0.34144
84	0.26404	0.22698
85	0.21432	0.54409
86	0.24320	0.34726
87	0.23424	0.23276
88	0.24992	0.52345
89	0.29440	0.53825
90	0.25909	0.29245
91	0.20893	0.29785
92	0.23795	0.27377
93	0.24780	0.47817
94	0.23179	0.25208
95	0.23877	0.45268
96	0.28176	0.29971
97	0.28310	0.29699
98	0.22944	0.37479
99	0.22159	0.33449
100	0.28868	0.49758
101	0.31051	0.37359
102	0.27212	0.32338
103	0.24794	0.57844
104	0.24541	0.25109
105	0.33021	0.23317
106	0.21599	0.33876
107	0.24598	0.21870
108	0.25537	0.45856
109	0.20641	0.51498
110	0.27481	0.35268
111	0.26884	0.45084
112	0.19989	0.28888
113	0.23179	0.31167
114	0.24205	0.29349
115	0.18612	0.20306
116	0.23954	0.32762
117	0.31593	0.41394
118	0.22205	0.25740
119	0.41017	0.43636
120	0.25988	0.30562
121	0.19516	0.57499
122	0.23264	0.39121
123	0.28079	0.21334
124	0.13255	0.12382
125	0.24271	0.27796
126	0.26182	0.43523
127	0.20562	0.19266
128	0.24480	0.30113
129	0.22493	0.52472
130	0.35584	0.38810
131	0.24726	0.50086
132	0.25648	0.47287
133	0.27915	0.25422
134	0.22888	0.38847
135	0.24380	0.61995
136	0.23051	0.38392
137	0.19740	0.17540
138	0.29498	0.42773
139	0.40492	0.49007
140	0.27676	0.51630
141	0.20098	0.43461
142	0.21068	0.36180
143	0.29266	0.43214
144	0.24416	0.35953
145	0.32631	0.61366
146	0.33013	0.38878
147	0.22464	0.42726
148	0.33489	0.39523
149	0.24431	0.23824
150	0.29031	0.29460
151	0.24785	0.31137
152	0.24100	0.37303
153	0.25772	0.38662
154	0.29116	0.42983
155	0.25932	0.39071
156	0.27663	0.55068
157	0.26968	0.25422
158	0.23638	0.35362
159	0.20816	0.31533
160	0.20626	0.32113
161	0.25390	0.20614
162	0.24759	0.32549
163	0.22605	0.22917
164	0.35254	0.41086
165	0.34036	0.46012
166	0.20470	0.25588
167	0.26877	0.32649
168	0.21610	0.27919
169	0.21359	0.28823
170	0.29870	0.45914
171	0.26808	0.49276
172	0.27097	0.32280
173	0.21985	0.48708
174	0.24290	0.41244
175	0.24760	0.40423
176	0.27066	0.28461
177	0.22237	0.31420
178	0.18115	0.28770
179	0.28281	0.29351
180	0.24601	0.35089
181	0.31059	0.25227
182	0.27971	0.40525
183	0.25047	0.40697
184	0.28669	0.48279
185	0.22766	0.34533
186	0.26360	0.22527
187	0.31745	0.33744
188	0.25257	0.44368
189	0.25194	0.33029
190	0.28150	0.44571
191	0.24725	0.42825
192	0.23546	0.25299
193	0.16388	0.17202
194	0.24613	0.28187
195	0.39767	0.47971
196	0.26007	0.44836
197	0.28162	0.48679
198	0.24280	0.49207
199	0.26076	0.51086
200	0.34167	0.38292
201	0.29045	0.54040
202	0.22162	0.34082
203	0.32894	0.46093
204	0.33041	0.40412
205	0.25303	0.33827
206	0.25043	0.36017
207	0.25664	0.30953
208	0.22499	0.37510
209	0.21255	0.27362
210	0.26564	0.32229
211	0.20375	0.32962
212	0.21247	0.31925
213	0.27153	0.26644
214	0.23637	0.34468
215	0.30541	0.46932
216	0.23915	0.35754
217	0.22109	0.49199
218	0.23175	0.26046
219	0.21625	0.36049
220	0.24317	0.33595
221	0.21941	0.33289
222	0.28787	0.34204
223	0.24976	0.33207
224	0.20022	0.21840
225	0.26264	0.26612
226	0.23903	0.30965
227	0.24587	0.23361
228	0.28493	0.43069
229	0.24714	0.29271
230	0.24579	0.39264
231	0.23244	0.35987
232	0.24700	0.27651
233	0.31984	0.48904
234	0.29311	0.34352
235	0.34559	0.41994
236	0.25248	0.26340
237	0.24495	0.27284
238	0.27568	0.24986
239	0.22594	0.28698
240	0.27781	0.44212
241	0.34663	0.44644
242	0.25740	0.46215
243	0.24646	0.29257
244	0.32294	0.44363
245	0.29602	0.33288
246	0.26198	0.43109
247	0.17658	0.25428
248	0.19991	0.32645
249	0.25003	0.38972
250	0.25737	0.40034
251	0.24021	0.33505
252	0.39004	0.60537
253	0.23648	0.50593
254	0.29280	0.30054
255	0.19592	0.35299
256	0.28245	0.44417
257	0.19708	0.59293
258	0.29562	0.29934
259	0.21339	0.25979
260	0.23784	0.26892
261	0.24367	0.27406
262	0.24746	0.47867
263	0.39470	0.38422
264	0.24566	0.25112
265	0.31730	0.37534
266	0.33237	0.58077
267	0.22884	0.27359
268	0.32823	0.44223
269	0.24499	0.44046
270	0.23544	0.29364
271	0.28159	0.43175
272	0.21456	0.65452
273	0.21133	0.52452
274	0.19676	0.36258
275	0.22731	0.33644
276	0.28104	0.46090
277	0.25273	0.26180
278	0.23477	0.38018
279	0.21719	0.46076
280	0.21488	0.29944
281	0.25119	0.30013
282	0.32939	0.40692
283	0.25522	0.20269
284	0.22684	0.23410
285	0.25352	0.29096
286	0.23911	0.25969
287	0.32772	0.34269
288	0.20813	0.33466
289	0.26261	0.33005
290	0.28740	0.40034
291	0.18749	0.30320
292	0.24752	0.32985
293	0.21882	0.25291
294	0.20143	0.28588
295	0.25166	0.29081
296	0.21364	0.26435
297	0.22715	0.36543
298	0.22388	0.40480
299	0.24388	0.22660
300	0.20663	0.16411
301	0.27585	0.37748
302	0.29378	0.47827
303	0.23639	0.27409
304	0.27793	0.28849
305	0.22328	0.26358
306	0.23368	0.54007
307	0.25073	0.30739
308	0.14664	0.21826
309	0.24062	0.30011
310	0.24302	0.36791
311	0.25653	0.45839
312	0.25373	0.34103
313	0.21051	0.46184
314	0.24655	0.38743
315	0.23131	0.32631
316	0.25063	0.33864
317	0.24825	0.31876
318	0.23311	0.26946
319	0.25877	0.31337
320	0.22344	0.32142
321	0.20212	0.30640
322	0.26693	0.24146
323	0.38673	0.58329
324	0.20333	0.22086
325	0.23265	0.23423
326	0.24948	0.42238
327	0.22754	0.38948
328	0.30785	0.39649
329	0.38383	0.43532
330	0.23333	0.22493
331	0.29364	0.26047
332	0.25436	0.28706
333	0.22703	0.40555
334	0.22522	0.21034
335	0.23832	0.31087
336	0.19121	0.15607
337	0.23293	0.30957
338	0.22082	0.55962
339	0.31951	0.27631
340	0.23284	0.45263
341	0.28903	0.40163
342	0.22222	0.49129
343	0.26499	0.50785
344	0.22202	0.42142
345	0.26265	0.37715
346	0.25202	0.52546
347	0.26920	0.25731
348	0.27288	0.27432
349	0.23124	0.29356
350	0.19490	0.57613
351	0.25144	0.44469
352	0.21741	0.24979
353	0.25827	0.23967
354	0.25223	0.41853
355	0.34656	0.51552
356	0.22561	0.40311
357	0.29717	0.44357
358	0.22258	0.20065
359	0.26351	0.31266
360	0.30224	0.50863
361	0.22394	0.57478
362	0.24870	0.37149
363	0.29293	0.42664
364	0.21386	0.26762
365	0.23746	0.48011
366	0.25171	0.25848
367	0.23065	0.23090
368	0.30988	0.56577
369	0.23751	0.32672
370	0.30165	0.51485
371	0.26137	0.27942
372	0.26579	0.26083
373	0.25995	0.30389
374	0.22788	0.28804
375	0.20122	0.21510
376	0.17163	0.07822
377	0.24744	0.32578
378	0.25642	0.24217
379	0.22908	0.32165
380	0.26825	0.47511
381	0.26353	0.22380
382	0.24912	0.50309
383	0.23868	0.41451
384	0.22177	0.25924
385	0.29605	0.37074
386	0.28861	0.43175
387	0.27787	0.30808
388	0.20656	0.23131
389	0.22228	0.39046
390	0.37541	0.42732
391	0.25981	0.36987
392	0.23956	0.24587
393	0.24747	0.36101
394	0.25506	0.30436
395	0.34535	0.49518
396	0.38869	0.39340
397	0.26196	0.24667
398	0.24874	0.37467
399	0.25113	0.27367
400	0.25684	0.23238
401	0.28983	0.27522
402	0.26530	0.21989
403	0.24016	0.31724
404	0.22334	0.29398
405	0.24283	0.41472
406	0.26758	0.39682
407	0.27005	0.44778
408	0.23169	0.23890
409	0.20374	0.23516
410	0.27667	0.42716
411	0.26060	0.33669
412	0.24788	0.31033
413	0.22686	0.27456
414	0.19942	0.32967
415	0.27196	0.30746
416	0.20516	0.21799
417	0.19541	0.44512
418	0.18542	0.20720
419	0.24563	0.28286
420	0.25957	0.28382
421	0.21591	0.32731
422	0.24183	0.21641
423	0.22212	0.36757
424	0.25792	0.30581
425	0.20280	0.27979
426	0.24139	0.30694
427	0.24649	0.39117
428	0.27612	0.40115
429	0.24615	0.39747
430	0.20897	0.43959
431	0.25091	0.29243
432	0.22980	0.38732
433	0.33940	0.63048
434	0.24769	0.42070
435	0.30380	0.32060
436	0.34897	0.32293
437	0.24169	0.31712
438	0.29217	0.30567
439	0.19892	0.30849
440	0.18794	0.25801
441	0.26650	0.27085
442	0.22070	0.26108
443	0.22814	0.28255
444	0.28292	0.33452
445	0.22449	0.40588
446	0.21802	0.47824
447	0.26537	0.23983
448	0.21994	0.33531
449	0.29683	0.26396
450	0.24703	0.42038
451	0.24601	0.26816
452	0.25157	0.48302
453	0.24460	0.23474
454	0.30977	0.32571
455	0.22642	0.27582
456	0.19562	0.30524
457	0.35510	0.46665
458	0.24729	0.52119
459	0.23230	0.31567
460	0.27435	0.50590
461	0.20975	0.43734
462	0.25246	0.31546
463	0.31571	0.49372
464	0.25385	0.26577
465	0.23733	0.49331
466	0.25930	0.35829
467	0.29860	0.25637
468	0.23167	0.26062
469	0.20290	0.14836
470	0.22368	0.46933
471	0.26296	0.34725
472	0.21957	0.26699
473	0.16959	0.13858
474	0.22938	0.39139
475	0.31428	0.32287
476	0.27019	0.32242
477	0.27662	0.27592
478	0.30471	0.46438
479	0.20380	0.30057
480	0.23600	0.37415
481	0.22843	0.39812
482	0.23753	0.50955
483	0.24366	0.33615
484	0.26601	0.29614
485	0.22772	0.32400
486	0.43571	0.46322
487	0.24776	0.26866
488	0.24317	0.24389
489	0.24045	0.43445
490	0.26746	0.27651
491	0.19978	0.30386
492	0.17376	0.19220
493	0.22694	0.35928
494	0.34874	0.38010
495	0.32512	0.30231
496	0.27486	0.42938
497	0.24229	0.28937
498	0.18366	0.16671
499	0.22112	0.27800
500	0.30053	0.51329
