denv_46_182   A_pdb5nvo.    Aligned length=   28, RMSD=   3.15, Seq_ID=n_identical/n_aligned= 0.071   TM-score= 0.34375    TM-score= 0.16556 
denv_46_182   A_pdb6yz4.    Aligned length=   24, RMSD=   2.96, Seq_ID=n_identical/n_aligned= 0.042   TM-score= 0.25614    TM-score= 0.06958 
denv_46_182   A_pdb2lue.    Aligned length=   26, RMSD=   3.42, Seq_ID=n_identical/n_aligned= 0.038   TM-score= 0.30095    TM-score= 0.15136 
denv_46_182   A_pdb4wlj.    Aligned length=   32, RMSD=   3.20, Seq_ID=n_identical/n_aligned= 0.062   TM-score= 0.34936    TM-score= 0.06684 
denv_46_182   A_pdb6rzl.    Aligned length=   32, RMSD=   2.68, Seq_ID=n_identical/n_aligned= 0.031   TM-score= 0.48292    TM-score= 0.18708 
denv_46_182   A_pdb2r9m.    Aligned length=   28, RMSD=   2.99, Seq_ID=n_identical/n_aligned= 0.071   TM-score= 0.35085    TM-score= 0.10512 
denv_46_182   A_pdb5q0y.    Aligned length=   21, RMSD=   2.97, Seq_ID=n_identical/n_aligned= 0.095   TM-score= 0.23522    TM-score= 0.07442 
denv_46_182   A_pdb2gpu.    Aligned length=   27, RMSD=   3.23, Seq_ID=n_identical/n_aligned= 0.111   TM-score= 0.31963    TM-score= 0.09857 
denv_46_182   A_pdb2jhv.    Aligned length=   27, RMSD=   2.23, Seq_ID=n_identical/n_aligned= 0.074   TM-score= 0.43503    TM-score= 0.16474 
denv_46_182   A_pdb5kra.    Aligned length=   21, RMSD=   2.32, Seq_ID=n_identical/n_aligned= 0.000   TM-score= 0.27516    TM-score= 0.08100 
denv_46_182   A_pdb5k23.    Aligned length=   32, RMSD=   3.57, Seq_ID=n_identical/n_aligned= 0.031   TM-score= 0.38599    TM-score= 0.14902 
denv_46_182   B_pdb2ovp.    Aligned length=   31, RMSD=   1.49, Seq_ID=n_identical/n_aligned= 0.161   TM-score= 0.56596    TM-score= 0.06775 
denv_46_182   A_pdb2g3y.    Aligned length=   26, RMSD=   3.47, Seq_ID=n_identical/n_aligned= 0.038   TM-score= 0.30614    TM-score= 0.11251 
denv_46_182   B_pdb2l34.    Aligned length=   35, RMSD=   3.10, Seq_ID=n_identical/n_aligned= 0.086   TM-score= 0.37300    TM-score= 0.03381 
